blueprint_id;name;category;craft_time_seconds;tiers;version;ingredient_slot;ingredient_name;ingredient_quantity_scu;ingredient_min_quality;ingredient_unit
bp_craft_cds_legacy_armor_heavy_arms_01_01_16;ADP Arms Dark Green;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_16;ADP Arms Dark Green;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_13;ADP Arms Dark Red;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_13;ADP Arms Dark Red;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_05;ADP Arms Green;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_05;ADP Arms Green;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_11;ADP Arms Grey;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_11;ADP Arms Grey;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_hd_sec;ADP Arms Hurston Edition;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_hd_sec;ADP Arms Hurston Edition;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_19;ADP Arms Imperial;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_19;ADP Arms Imperial;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_20;ADP Arms Olive;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_20;ADP Arms Olive;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_03;ADP Arms Orange;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_03;ADP Arms Orange;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_08;ADP Arms Purple;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_08;ADP Arms Purple;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_02;ADP Arms Red;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_02;ADP Arms Red;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_06;ADP Arms Seagreen;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_06;ADP Arms Seagreen;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_14;ADP Arms Sienna;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_14;ADP Arms Sienna;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_15;ADP Arms Tan;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_15;ADP Arms Tan;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_18;ADP Arms Twilight;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_18;ADP Arms Twilight;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_09;ADP Arms Violet;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_09;ADP Arms Violet;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_10;ADP Arms White;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_10;ADP Arms White;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_01;ADP Arms Woodland;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_01;ADP Arms Woodland;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_04;ADP Arms Yellow;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_arms_01_01_04;ADP Arms Yellow;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_01_01;ADP Core;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_01_01;ADP Core;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_9tails_01;ADP Core (Modified);Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_9tails_01;ADP Core (Modified);Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_01_17;ADP Core Aqua;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_01_17;ADP Core Aqua;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_01_12;ADP Core Black;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_01_12;ADP Core Black;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_01_07;ADP Core Blue;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_01_07;ADP Core Blue;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_crus01_01;ADP Core Crusader Edition;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_crus01_01;ADP Core Crusader Edition;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_01_16;ADP Core Dark Green;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_01_16;ADP Core Dark Green;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_01_13;ADP Core Dark Red;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_01_13;ADP Core Dark Red;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_01_05;ADP Core Green;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_01_05;ADP Core Green;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_01_11;ADP Core Grey;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_01_11;ADP Core Grey;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_01_hd_sec;ADP Core Hurston Edition;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_01_hd_sec;ADP Core Hurston Edition;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_01_19;ADP Core Imperial;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_01_19;ADP Core Imperial;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_01_20;ADP Core Olive;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_01_20;ADP Core Olive;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_01_03;ADP Core Orange;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_01_03;ADP Core Orange;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_01_08;ADP Core Purple;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_01_08;ADP Core Purple;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_01_02;ADP Core Red;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_01_02;ADP Core Red;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_01_06;ADP Core Seagreen;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_01_06;ADP Core Seagreen;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_01_14;ADP Core Sienna;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_01_14;ADP Core Sienna;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_01_15;ADP Core Tan;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_01_15;ADP Core Tan;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_01_18;ADP Core Twilight;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_01_18;ADP Core Twilight;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_01_09;ADP Core Violet;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_01_09;ADP Core Violet;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_01_10;ADP Core White;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_01_10;ADP Core White;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_core_01_01_04;ADP Core Yellow;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.07;;
bp_craft_cds_legacy_armor_heavy_core_01_01_04;ADP Core Yellow;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_17;ADP Legs Aqua;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_17;ADP Legs Aqua;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_12;ADP Legs Black;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_12;ADP Legs Black;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_07;ADP Legs Blue;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_07;ADP Legs Blue;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_legs_01_crus01_01;ADP Legs Crusader Edition;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_legs_01_crus01_01;ADP Legs Crusader Edition;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_16;ADP Legs Dark Green;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_16;ADP Legs Dark Green;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_13;ADP Legs Dark Red;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_13;ADP Legs Dark Red;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_05;ADP Legs Green;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_05;ADP Legs Green;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_11;ADP Legs Grey;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_11;ADP Legs Grey;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_hd_sec;ADP Legs Hurston Edition;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_hd_sec;ADP Legs Hurston Edition;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_19;ADP Legs Imperial;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_19;ADP Legs Imperial;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_20;ADP Legs Olive;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_20;ADP Legs Olive;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_03;ADP Legs Orange;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_03;ADP Legs Orange;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_08;ADP Legs Purple;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_08;ADP Legs Purple;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_02;ADP Legs Red;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_02;ADP Legs Red;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_06;ADP Legs Seagreen;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_06;ADP Legs Seagreen;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;INSULATIVE LINER;Aslarite;0.02;;
bp_craft_cds_legacy_armor_heavy_legs_01_01_14;ADP Legs Sienna;Armour / Combat / Heavy;240;1;LIVE-4.7.0-11592622;ARMOURED CARAPACE;Ouratite;0.06;;
